,StimOnset,Q1Onset,Seen,Resp1Onset,Q2Onset,Emotion,Resp2Onset,ConfQOnset,ConfROnset,ConfRT,ConfRating,Bias,Condition,StimPresent,Duration,Sname,StimID
46,1123.5338594349996,1130.2425772080005,1,1130.6483584020007,1132.6584286230009,1,1135.2957441220005,Not asked,Not asked,Not asked,Not asked,0.4,1.0,1.0,0.2,H40A60,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H40A60.png
47,1142.9134293509996,1149.6310048530013,1,1150.7156689929998,1152.7268895230009,1,1157.6206300350004,Not asked,Not asked,Not asked,Not asked,0.2,1.0,1.0,0.2,H20A80,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H20A80.png
48,1165.2614255600001,1171.9776975910008,1,1173.0535516520013,1175.0652191500012,1,1177.1012295609999,1179.1101328550012,1181.636249993,-2.526117137998881,5,0.6,1.0,1.0,0.2,H60A40,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H60A40.png
49,1187.2483409329998,1193.9437440050006,1,1195.1127240959995,1197.1242184340008,1,1201.4825768530009,Not asked,Not asked,Not asked,Not asked,,1.0,0.0,0.2,,
50,1209.107647113,1215.2223203190006,1,1216.008819703,1218.0203111850005,1,1220.3486175840007,Not asked,Not asked,Not asked,Not asked,0.6,0.0,1.0,0.016,H60A40,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H60A40.png
51,,,,,,,,,,,,,,,0.2,,
52,,,,,,,,,,,,,,,0.2,,
53,,,,,,,,,,,,,,,0.2,,
54,,,,,,,,,,,,,,,0.016,,
55,,,,,,,,,,,,,,,0.016,,
56,,,,,,,,,,,,,,,0.016,,
57,,,,,,,,,,,,,,,0.2,,
58,,,,,,,,,,,,,,,0.2,,
59,,,,,,,,,,,,,,,0.2,,
60,,,,,,,,,,,,,,,0.016,,
61,,,,,,,,,,,,,,,0.016,,
62,,,,,,,,,,,,,,,0.016,,
63,,,,,,,,,,,,,,,0.2,,
64,,,,,,,,,,,,,,,0.016,,
65,,,,,,,,,,,,,,,0.016,,
66,,,,,,,,,,,,,,,0.2,,
67,,,,,,,,,,,,,,,0.016,,
68,,,,,,,,,,,,,,,0.2,,
69,,,,,,,,,,,,,,,0.2,,
70,,,,,,,,,,,,,,,0.2,,
71,,,,,,,,,,,,,,,0.2,,
72,,,,,,,,,,,,,,,0.2,,
73,,,,,,,,,,,,,,,0.2,,
74,,,,,,,,,,,,,,,0.016,,
75,,,,,,,,,,,,,,,0.2,,
76,,,,,,,,,,,,,,,0.2,,
77,,,,,,,,,,,,,,,0.2,,
78,,,,,,,,,,,,,,,0.2,,
79,,,,,,,,,,,,,,,0.016,,
80,,,,,,,,,,,,,,,0.2,,
81,,,,,,,,,,,,,,,0.016,,
82,,,,,,,,,,,,,,,0.016,,
83,,,,,,,,,,,,,,,0.2,,
