,Seen,Emotion,NoiseType,duration,ElementSize,Stimulus,EmotionC,Correct
140,4,4,Uniform,0.02,14,H50A50,happy,0
141,4,4,Uniform,0.025,14,H70A30,happy,1
142,4,4,Uniform,0.02,14,H60A40,happy,1
143,4,4,Uniform,0.016,14,H70A30,happy,1
144,4,4,Uniform,0.016,14,H50A50,happy,0
145,4,4,Uniform,0.025,14,H30A70,happy,0
146,4,4,Uniform,0.025,14,H70A30,happy,1
147,4,4,Uniform,0.025,14,H50A50,happy,0
148,4,4,Uniform,0.016,14,H60A40,happy,1
149,4,4,Uniform,0.025,14,H100,happy,1
150,4,4,Uniform,0.022,14,H30A70,happy,0
151,4,4,Uniform,0.02,14,H50A50,happy,0
152,4,4,Uniform,0.016,14,H60A40,happy,1
153,4,4,Uniform,0.022,14,H30A70,happy,0
154,4,4,Uniform,0.025,14,H30A70,happy,0
155,4,4,Uniform,0.02,14,H60A40,happy,1
156,4,4,Uniform,0.016,14,H60A40,happy,1
157,4,4,Uniform,0.02,14,H30A70,happy,0
158,4,4,Uniform,0.02,14,H70A30,happy,1
159,4,4,Uniform,0.022,14,H100,happy,1
160,4,4,Uniform,0.02,14,H20A80,happy,0
161,4,4,Uniform,0.025,14,H80A20,happy,1
162,4,4,Uniform,0.016,14,H40A60,happy,0
163,4,4,Uniform,0.022,14,H100,happy,1
164,4,4,Uniform,0.02,14,H80A20,happy,1
165,4,4,Uniform,0.02,14,H20A80,happy,0
166,4,4,Uniform,0.02,14,H100,happy,1
167,4,4,Uniform,0.016,14,H80A20,happy,1
168,4,4,Uniform,0.02,14,H20A80,happy,0
169,4,4,Uniform,0.016,14,H20A80,happy,0
170,4,4,Uniform,0.025,14,H80A20,happy,1
171,1,1,Uniform,0.022,14,H40A60,angry,1
172,4,4,Uniform,0.016,14,H100,happy,1
173,1,1,Uniform,0.016,14,H40A60,angry,1
174,4,4,Uniform,0.016,14,H40A60,happy,0
175,4,4,Uniform,0.02,14,H40A60,happy,0
176,4,4,Uniform,0.025,14,H20A80,happy,0
177,1,1,Uniform,0.016,14,H80A20,angry,0
178,4,4,Uniform,0.022,14,H50A50,happy,0
179,4,4,Uniform,0.022,14,H70A30,happy,1
180,1,1,Uniform,0.016,14,H50A50,angry,0
181,4,4,Uniform,0.02,14,H70A30,happy,1
182,4,4,Uniform,0.016,14,H60A40,happy,1
183,4,4,Uniform,0.025,14,H70A30,happy,1
184,4,4,Uniform,0.025,14,H50A50,happy,0
185,1,1,Uniform,0.022,14,H30A70,angry,1
186,4,4,Uniform,0.02,14,H70A30,happy,1
187,4,4,Uniform,0.016,14,H50A50,happy,0
188,4,4,Uniform,0.025,14,H60A40,happy,1
189,4,4,Uniform,0.025,14,H100,happy,1
190,4,4,Uniform,0.022,14,H30A70,happy,0
191,4,4,Uniform,0.02,14,H50A50,happy,0
192,4,4,Uniform,0.016,14,H60A40,happy,1
193,4,4,Uniform,0.025,14,H30A70,happy,0
194,4,4,Uniform,0.016,14,H30A70,happy,0
195,4,4,Uniform,0.016,14,H60A40,happy,1
196,4,4,Uniform,0.02,14,H60A40,happy,1
197,4,4,Uniform,0.02,14,H30A70,happy,0
198,4,4,Uniform,0.025,14,H70A30,happy,1
199,1,1,Uniform,0.022,14,H100,angry,0
